HotelName,RoomType,DoubleBed,SingleBed,Price
"Holiday Inn Express - Birmingham - City Centre, an IHG Hotel",Allocation on arrival,No,Yes,8780
Aloft Birmingham Eastside,"Aloft, Guest room, 1 King",Yes,No,9456
"Holiday Inn Birmingham City, an IHG Hotel",Standard Double Room,Yes,No,8556
Staycity Aparthotels Birmingham Jewellery Quarter,One-Bedroom Apartment (3 Adults),No,Yes,9060
"Holiday Inn Express Birmingham - Snow Hill, an IHG Hotel",Standard Double Room - Non-Smoking,Yes,No,10777
Bloc Hotel Birmingham,Standard Double Room - No Window,Yes,No,8145
Selina Birmingham,Small Room Shared Bathroom ,No,Yes,6424
Edgbaston Park Hotel Birmingham,Standard Double Room,Yes,No,15049
Hotel at Conference Aston,City Double Room,Yes,No,11815
ibis budget Birmingham Centre,Standard Triple Room,Yes,No,5699
Leonardo Royal Hotel Birmingham - formerly Jurys Inn,Deluxe Double or Twin Room,Yes,No,11287
The Wellington Hotel Birmingham - Breakfast Included City Centre Near O2 Academy,Small Double Room,Yes,No,6101
The Bournbrook Inn,Double Room,Yes,No,7245
Best Western Plough and Harrow Hotel,Family Room with sofa bed,No,Yes,9517
Clayton Hotel Birmingham,Deluxe Double Room,Yes,No,11083
"Radisson Blu Hotel, Birmingham",Standard Room,Yes,No,11998
