Hotel Name,freewifi,familyrooms,nonsmokingrooms,restaurant,bar,heating,lift,Cuisine1,Cuisine2,Cuisine3
harry's home hotel & apartments,Yes,Yes,Yes,Yes,No,Yes,Yes,Full English/Irish,Vegetarian,Vegan
Garni-Hotel An der Weide,Yes,Yes,Yes,Yes,No,Yes,Yes,Asian,Continental,Continental
New Berlin,Yes,Yes,Yes,Yes,No,Yes,Yes,International,Full English/Irish,N/A
Amstel House Hostel,Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Vegetarian,N/A
Select Hotel Berlin The Wall,Yes,Yes,Yes,Yes,No,Yes,Yes,International,Ameican,N/A
Hotel Hansablick,Yes,Yes,Yes,Yes,No,Yes,Yes,American,Continental,N/A
Art Hotel Charlottenburger Hof Berlin,Yes,Yes,Yes,Yes,No,Yes,Yes,Asian,Full English/Irish,Full English/Irish
BIG MAMA Berlin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Continental,Continental
NH Berlin Alexanderplatz,No,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Ameican,N/A
Hotel Messe am Funkturm,No,Yes,Yes,Yes,Yes,Yes,Yes,Continental,N/A,Continental
TITANIC Chaussee Berlin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,Asian,N/A
The Weinmeister Berlin-Mitte - Adults Only,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Full English/Irish,Full English/Irish
Seehotel Grunewald,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Continental,Continental
sly Berlin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,Vegan
Hotel Benn,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Continental
"Sir Savigny Hotel, Berlin, a Member of Design Hotels",Yes,Yes,Yes,Yes,Yes,Yes,No,Local,Vegan,N/A
Hotel Kaiser,Yes,Yes,Yes,Yes,No,Yes,Yes,Full English/Irish,Continental,American
Pullman Berlin Schweizerhof,Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Asian,N/A
Hotel Europa City,Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Vegetarian,N/A
"Hotel Indigo Berlin – Ku’damm, an IHG Hotel",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Full English/Irish
Aspria Berlin Ku'damm,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,Continental
Müggelseeperle,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Vegetarian,N/A
Hotel Q! Berlin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Ameican,Continental
Hotel Atrium Charlottenburg,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Vegan,Continental,N/A
Hotel Delta am Potsdamer Platz,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,N/A,Full English/Irish
